date;Counts
09:29:47;0,1640625
09:30:00;0,1640625
09:31:00;0,1640625
09:32:00;0,2265625
09:33:00;0,1640625
09:34:00;0,1640625
09:35:00;0,25
09:36:00;0,1484375
09:37:00;0,1953125
09:38:00;0,2265625
09:39:00;0,1796875
09:40:00;0,1796875
09:41:00;0,1484375
09:42:00;0,234375
09:43:00;0,1953125
09:44:00;0,234375
09:45:00;0,2578125
09:46:00;0,265625
09:47:00;0,3125
09:48:00;0,2734375
09:49:00;0,2421875
09:50:00;0,21875
09:51:00;0,2421875
09:52:00;0,21875
09:53:00;0,4609375
09:54:00;0,3984375
09:55:00;0,3046875
09:56:00;0,2578125
09:57:00;0,3828125
09:58:00;0,5625
09:59:00;0,3828125
10:00:00;0,4375
10:01:00;0,4453125
10:02:00;0,5625
10:03:00;0,609375
10:04:00;0,453125
10:05:00;0,515625
10:06:00;0,5234375
10:07:00;0,8515625
10:08:00;0,9296875
10:09:00;0,7734375
10:10:00;0,671875
10:11:00;0,796875
10:12:00;0,6171875
10:13:00;0,6875
10:14:00;0,8046875
10:15:00;0,5859375
10:16:00;0,5
10:17:00;0,734375
10:18:00;0,890625
10:19:00;0,5625
10:20:00;0,7890625
10:21:00;0,8359375
10:22:00;0,6171875
10:23:00;0,7265625
10:24:00;0,609375
10:25:00;0,703125
10:26:00;0,6328125
10:27:00;0,671875
10:28:00;0,546875
10:29:00;0,609375
10:30:00;0,8359375
10:31:00;1,0234375
10:32:00;0,890625
10:33:00;0,8359375
10:34:00;0,921875
10:35:00;0,6484375
10:36:00;0,8671875
10:37:00;0,6875
10:38:00;0,8828125
10:39:00;0,796875
10:40:00;0,8046875
10:41:00;0,9609375
10:42:00;0,9375
10:43:00;0,8984375
10:44:00;1,0546875
10:45:00;1,0859375
10:46:00;1,1328125
10:47:00;1,0390625
10:48:00;1,046875
10:49:00;1,1015625
10:50:00;1,078125
10:51:00;1,0546875
10:52:00;0,8984375
10:53:00;0,78125
10:54:00;1,0625
10:55:00;1,0234375
10:56:00;1,0390625
10:57:00;1,109375
10:58:00;0,953125
10:59:00;0,9609375
11:00:00;1,0390625
11:01:00;1,25
11:02:00;1,0625
11:03:00;1,171875
11:04:00;1,1875
11:05:00;1,390625
11:06:00;1,2265625
11:07:00;1,125
11:08:00;1,015625
11:09:00;0,7890625
11:10:00;1,0234375
11:11:00;1,0390625
11:12:00;0,8046875
11:13:00;0,90625
11:14:00;0,9609375
11:15:00;1,1953125
11:16:00;1,0625
11:17:00;0,953125
11:18:00;0,890625
11:19:00;0,90625
11:20:00;0,8203125
11:21:00;0,6484375
11:22:00;0,8125
11:23:00;0,953125
11:24:00;0,953125
11:25:00;0,84375
11:26:00;0,953125
11:27:00;1,171875
11:28:00;0,953125
11:29:00;1,015625
11:30:00;0,84375
11:31:00;1,0859375
11:32:00;0,9609375
11:33:00;1,1328125
11:34:00;0,96875
11:35:00;0,953125
11:36:00;0,8671875
11:37:00;0,7578125
11:38:00;1,09375
11:39:00;0,9296875
11:40:00;0,9296875
11:41:00;0,890625
11:42:00;0,9609375
11:43:00;0,7734375
11:44:00;1,015625
11:45:00;0,9375
11:46:00;0,9296875
11:47:00;0,9453125
11:48:00;0,828125
11:49:00;0,9609375
11:50:00;0,9296875
11:51:00;0,8984375
11:52:00;0,9765625
11:53:00;0,9609375
11:54:00;1,1484375
11:55:00;0,8671875
11:56:00;1,046875
11:57:00;0,75
11:58:00;0,9375
11:59:00;0,9453125
12:00:00;1,1328125
12:01:00;0,78125
12:02:00;1,1953125
12:03:00;1,2265625
12:04:00;0,8515625
12:05:00;1,015625
12:06:00;1,0390625
12:07:00;1,2578125
12:08:00;1
12:09:00;1,0625
12:10:00;0,9296875
12:11:00;1,3515625
12:12:00;1,3046875
12:13:00;1,3515625
12:14:00;1,3515625
12:15:00;1,5859375
12:16:00;1,2421875
12:17:00;1,3671875
12:18:00;1,7578125
12:19:00;1,6328125
12:20:00;1,640625
12:21:00;1,6171875
12:22:00;1,6640625
12:23:00;1,765625
12:24:00;1,6015625
12:25:00;1,5390625
12:26:00;1,71875
12:27:00;2,0234375
12:28:00;1,96875
12:29:00;2,40625
12:30:00;2,46875
12:31:00;2,203125
12:32:00;2,0546875
12:33:00;2,0703125
12:34:00;2,1953125
12:35:00;2,2421875
12:36:00;2,3671875
12:37:00;2,2265625
12:38:00;1,90625
12:39:00;2,1328125
12:40:00;2,1015625
12:41:00;2,1640625
12:42:00;2,1015625
12:43:00;2,0703125
12:44:00;2,203125
12:45:00;2,1640625
12:46:00;2,140625
12:47:00;2,734375
12:48:00;2,46875
12:49:00;2,390625
12:50:00;2,4609375
12:51:00;2,453125
12:52:00;2,421875
12:53:00;2,7890625
12:54:00;2,5234375
12:55:00;2,3515625
12:56:00;2,7265625
12:57:00;2,390625
12:58:00;3,0703125
12:59:00;3,1484375
13:00:00;2,6171875
13:01:00;3,0703125
13:02:00;2,71875
13:03:00;2,5234375
13:04:00;2,484375
13:05:00;1,9296875
13:06:00;2,328125
13:07:00;2,4296875
13:08:00;2,734375
13:09:00;2,53125
13:10:00;2,9296875
13:11:00;2,5078125
13:12:00;2,34375
13:13:00;2,5390625
13:14:00;2,3671875
13:15:00;2,71875
13:16:00;3,0078125
13:17:00;2,46875
13:18:00;1,6875
13:19:00;2,359375
13:20:00;2,578125
13:21:00;2,984375
13:22:00;2,90625
13:23:00;3
13:24:00;2,78125
13:25:00;3,1796875
13:26:00;2,5703125
13:27:00;2,34375
13:28:00;2,546875
13:29:00;2,734375
13:30:00;2,734375
